#velocity    Tmb
#km/s         K
    45.918    -0.023
    45.841     0.017
    45.763     0.051
    45.685     0.045
    45.607    -0.006
    45.529    -0.039
    45.452    -0.019
    45.374     0.022
    45.296     0.046
    45.218     0.041
    45.140     0.006
    45.063    -0.028
    44.985    -0.040
    44.907    -0.049
    44.829    -0.057
    44.751    -0.044
    44.674    -0.017
    44.596    -0.008
    44.518    -0.012
    44.440     0.005
    44.362     0.045
    44.285     0.076
    44.207     0.081
    44.129     0.069
    44.051     0.072
    43.973     0.106
    43.896     0.141
    43.818     0.144
    43.766     0.121
    43.688     0.101
    43.610     0.122
    43.532     0.176
    43.455     0.228
    43.377     0.278
    43.299     0.324
    43.221     0.364
    43.143     0.411
    43.066     0.456
    42.988     0.490
    42.910     0.518
    42.832     0.551
    42.754     0.610
    42.677     0.706
    42.599     0.787
    42.521     0.800
    42.443     0.759
    42.365     0.721
    42.288     0.698
    42.210     0.680
    42.132     0.685
    42.054     0.696
    41.976     0.675
    41.899     0.649
    41.821     0.661
    41.743     0.693
    41.665     0.696
    41.587     0.671
    41.510     0.672
    41.432     0.706
    41.354     0.708
    41.276     0.660
    41.198     0.646
    41.121     0.697
    41.043     0.741
    40.965     0.737
    40.887     0.714
    40.809     0.710
    40.732     0.738
    40.654     0.792
    40.576     0.865
    40.498     0.923
    40.420     0.946
    40.343     0.965
    40.265     0.994
    40.187     1.020
    40.109     1.055
    40.031     1.096
    39.954     1.118
    39.876     1.137
    39.824     1.171
    39.746     1.194
    39.668     1.187
    39.590     1.181
    39.513     1.210
    39.435     1.252
    39.357     1.255
    39.279     1.198
    39.201     1.074
    39.124     0.944
    39.046     0.900
    38.968     0.918
    38.890     0.886
    38.812     0.771
    38.735     0.618
    38.657     0.497
    38.579     0.443
    38.501     0.413
    38.423     0.345
    38.346     0.262
    38.268     0.220
    38.190     0.179
    38.112     0.126
    38.034     0.131
    37.957     0.185
    37.879     0.222
    37.801     0.202
    37.723     0.123
    37.645     0.057
    37.568     0.055
    37.490     0.061
    37.412     0.035
    37.334     0.015
    37.256     0.043
    37.179     0.104
    37.101     0.146
    37.023     0.133
    36.945     0.107
    36.867     0.121
    36.790     0.135
    36.712     0.116
    36.634     0.102
    36.556     0.111
    36.478     0.141
    36.401     0.189
    36.323     0.239
    36.245     0.275
    36.167     0.304
    36.089     0.339
    36.012     0.396
    35.960     0.491
    35.882     0.600
    35.804     0.676
    35.726     0.729
    35.648     0.796
    35.571     0.873
    35.493     0.957
    35.415     1.072
    35.337     1.217
    35.259     1.315
    35.182     1.339
    35.104     1.384
    35.026     1.479
    34.948     1.547
    34.870     1.581
    34.793     1.614
    34.715     1.634
    34.637     1.647
    34.559     1.668
    34.481     1.664
    34.404     1.630
    34.326     1.634
    34.248     1.689
    34.170     1.729
    34.092     1.735
    34.015     1.750
    33.937     1.787
    33.859     1.811
    33.781     1.815
    33.703     1.827
    33.626     1.866
    33.548     1.922
    33.470     1.948
    33.392     1.936
    33.314     1.949
    33.237     2.001
    33.159     2.062
    33.081     2.107
    33.003     2.132
    32.925     2.174
    32.848     2.242
    32.770     2.288
    32.692     2.326
    32.614     2.387
    32.536     2.447
    32.459     2.488
    32.381     2.528
    32.303     2.594
    32.225     2.670
    32.147     2.712
    32.070     2.733
    32.018     2.750
    31.940     2.729
    31.862     2.670
    31.784     2.613
    31.706     2.563
    31.629     2.491
    31.551     2.408
    31.473     2.314
    31.395     2.176
    31.317     1.994
    31.240     1.798
    31.162     1.607
    31.084     1.434
    31.006     1.279
    30.928     1.139
    30.851     1.018
    30.773     0.900
    30.695     0.770
    30.617     0.644
    30.539     0.531
    30.462     0.430
    30.384     0.348
    30.306     0.287
    30.228     0.238
    30.150     0.191
    30.073     0.164
    29.995     0.177
    29.917     0.159
    29.839     0.070
    29.761     0.002
    29.684     0.009
    29.606     0.032
    29.528     0.045
    29.450     0.061
    29.372     0.066
    29.295     0.060
    29.217     0.075
    29.139     0.098
    29.061     0.101
    28.983     0.108
    28.906     0.130
    28.828     0.135
    28.750     0.131
    28.672     0.146
    28.594     0.177
    28.517     0.199
    28.439     0.204
    28.361     0.207
    28.283     0.224
    28.205     0.274
    28.154     0.360
    28.076     0.449
    27.998     0.506
    27.920     0.520
    27.842     0.507
    27.764     0.519
    27.687     0.597
    27.609     0.696
    27.531     0.757
    27.453     0.799
    27.375     0.849
    27.298     0.899
    27.220     0.930
    27.142     0.935
    27.064     0.906
    26.986     0.858
    26.909     0.805
    26.831     0.754
    26.753     0.738
    26.675     0.769
    26.597     0.828
    26.520     0.876
    26.442     0.870
    26.364     0.829
    26.286     0.797
    26.208     0.766
    26.131     0.742
    26.053     0.767
    25.975     0.812
    25.897     0.846
    25.819     0.899
    25.742     0.954
    25.664     0.968
    25.586     0.976
    25.508     1.005
    25.430     1.024
    25.353     1.027
    25.275     1.037
    25.197     1.055
    25.119     1.089
    25.041     1.174
    24.964     1.306
    24.886     1.415
    24.808     1.450
    24.730     1.450
    24.652     1.473
    24.575     1.496
    24.497     1.496
    24.419     1.504
    24.341     1.525
    24.263     1.522
    24.212     1.483
    24.134     1.416
    24.056     1.334
    23.978     1.249
    23.900     1.174
    23.822     1.098
    23.745     1.002
    23.667     0.899
    23.589     0.802
    23.511     0.708
    23.433     0.601
    23.356     0.485
    23.278     0.402
    23.200     0.349
    23.122     0.286
    23.044     0.216
    22.967     0.159
    22.889     0.135
    22.811     0.147
    22.733     0.158
    22.655     0.147
    22.578     0.107
    22.500     0.072
    22.422     0.097
    22.344     0.142
    22.266     0.128
    22.189     0.074
    22.111     0.029
    22.033     0.009
    21.955     0.013
    21.877     0.023
    21.800     0.027
    21.722     0.026
    21.644     0.025
    21.566     0.027
    21.488     0.014
    21.411    -0.008
    21.333    -0.021
    21.255    -0.030
    21.177    -0.044
    21.099    -0.056
    21.022    -0.059
    20.944    -0.032
    20.866     0.025
    20.788     0.044
    20.710     0.016
    20.633     0.017
    20.555     0.040
    20.477     0.026
    20.399    -0.010
    20.321    -0.042
    20.270    -0.057
    20.192    -0.044
    20.114    -0.030
    20.036    -0.066
    19.958    -0.122
    19.881    -0.132
    19.803    -0.108
    19.725    -0.092
    19.647    -0.065
    19.569    -0.024
    19.491     0.018
    19.414     0.081
    19.336     0.135
    19.258     0.131
    19.180     0.111
    19.102     0.101
    19.025     0.067
    18.947     0.016
    18.869    -0.017
    18.791    -0.033
    18.713    -0.037
    18.636    -0.030
    18.558    -0.016
    18.480    -0.001
    18.402     0.005
    18.324     0.005
    18.247     0.012
    18.169     0.007
    18.091    -0.027
    18.013    -0.052
    17.935    -0.027
    17.858     0.013
    17.780     0.026
    17.702     0.026
    17.624     0.035
    17.546     0.055
    17.469     0.067
    17.391     0.051
    17.313     0.024
    17.235     0.031
    17.157     0.077
    17.080     0.127
    17.002     0.141
    16.924     0.101
    16.846     0.046
    16.768     0.048
    16.691     0.110
    16.613     0.161
    16.535     0.173
    16.457     0.156
    16.405     0.126
    16.328     0.136
    16.250     0.200
    16.172     0.245
    16.094     0.231
    16.016     0.222
    15.939     0.277
    15.861     0.383
    15.783     0.483
    15.705     0.528
    15.627     0.538
    15.549     0.549
    15.472     0.544
    15.394     0.518
    15.316     0.504
    15.238     0.516
    15.160     0.540
    15.083     0.546
    15.005     0.542
    14.927     0.554
    14.849     0.563
    14.771     0.549
    14.694     0.529
    14.616     0.524
    14.538     0.531
    14.460     0.536
    14.382     0.557
    14.305     0.588
    14.227     0.586
    14.149     0.558
    14.071     0.540
    13.993     0.543
    13.916     0.563
    13.838     0.593
    13.760     0.629
    13.682     0.672
    13.604     0.717
    13.527     0.748
    13.449     0.778
    13.371     0.822
    13.293     0.865
    13.215     0.908
    13.138     0.973
    13.060     1.042
    12.982     1.084
    12.904     1.108
    12.826     1.128
    12.749     1.161
    12.671     1.225
    12.593     1.288
    12.515     1.297
    12.463     1.253
    12.386     1.211
    12.308     1.200
    12.230     1.169
    12.152     1.091
    12.074     1.013
    11.997     0.964
    11.919     0.915
    11.841     0.829
    11.763     0.695
    11.685     0.552
    11.607     0.454
    11.530     0.405
    11.452     0.383
    11.374     0.355
    11.296     0.290
    11.218     0.218
    11.141     0.179
    11.063     0.165
    10.985     0.144
    10.907     0.114
    10.829     0.115
    10.752     0.128
    10.674     0.091
    10.596     0.022
    10.518    -0.018
    10.440    -0.019
    10.363    -0.002
    10.285     0.007
    10.207     0.014
    10.129     0.038
    10.051     0.056
     9.974     0.052
     9.896     0.045
     9.818     0.015
     9.740    -0.048
     9.662    -0.086
     9.585    -0.063
     9.507    -0.021
     9.429    -0.006
     9.351    -0.017
     9.273    -0.040
     9.196    -0.047
     9.118    -0.021
     9.040    -0.003
     8.962    -0.020
     8.884    -0.023
     8.807     0.021
     8.729     0.071
     8.651     0.070
     8.599     0.026
     8.521    -0.018
     8.444    -0.045
     8.366    -0.077
     8.288    -0.109
     8.210    -0.098
     8.132    -0.053
     8.055    -0.021
     7.977    -0.010
     7.899    -0.015
     7.821    -0.026
     7.743    -0.018
     7.665    -0.000
     7.588     0.004
     7.510    -0.006
     7.432    -0.016
     7.354    -0.008
     7.276     0.006
     7.199     0.006
     7.121     0.016
     7.043     0.040
     6.965     0.037
     6.887     0.022
     6.810     0.020
     6.732     0.012
     6.654     0.004
     6.576     0.024
     6.498     0.063
     6.421     0.078
     6.343     0.060
     6.265     0.031
     6.187     0.005
     6.109    -0.016
     6.032    -0.027
     5.954    -0.027
     5.876    -0.011
     5.798     0.014
     5.720     0.038
     5.643     0.044
     5.565     0.021
     5.487    -0.005
     5.409    -0.006
     5.331    -0.003
     5.254    -0.016
     5.176    -0.037
     5.098    -0.057
     5.020    -0.064
     4.942    -0.064
     4.865    -0.075
     4.787    -0.083
     4.709    -0.063
     4.657    -0.034
     4.579    -0.037
     4.502    -0.056
     4.424    -0.032
     4.346     0.020
     4.268     0.042
     4.190     0.031
     4.113     0.008
     4.035    -0.018
     3.957    -0.012
     3.879     0.023
     3.801     0.038
     3.723     0.034
     3.646     0.040
     3.568     0.041
     3.490     0.024
     3.412     0.001
     3.334    -0.045
     3.257    -0.107
     3.179    -0.112
     3.101    -0.055
     3.023    -0.023
     2.945    -0.047
     2.868    -0.081
     2.790    -0.089
     2.712    -0.084
     2.634    -0.088
     2.556    -0.089
     2.479    -0.068
     2.401    -0.044
     2.323    -0.051
     2.245    -0.072
     2.167    -0.063
     2.090    -0.039
     2.012    -0.045
     1.934    -0.078
     1.856    -0.095
     1.778    -0.081
     1.701    -0.054
     1.623    -0.028
     1.545    -0.023
     1.467    -0.055
     1.389    -0.098
     1.312    -0.102
     1.234    -0.064
     1.156    -0.035
     1.078    -0.025
     1.000    -0.026
     0.923    -0.040
     0.845    -0.031
     0.767    -0.005
     0.715    -0.021
     0.637    -0.053
     0.560    -0.038
     0.482     0.007
     0.404     0.024
     0.326    -0.003
     0.248    -0.047
     0.171    -0.078
     0.093    -0.083
     0.015    -0.071
    -0.063    -0.067
    -0.141    -0.080
    -0.218    -0.096
    -0.296    -0.083
    -0.374    -0.016
    -0.452     0.062
    -0.530     0.094
    -0.608     0.093
    -0.685     0.083
    -0.763     0.052
    -0.841     0.007
    -0.919    -0.024
    -0.997    -0.033
    -1.074    -0.030
    -1.152    -0.020
    -1.230    -0.000
    -1.308     0.028
    -1.386     0.034
    -1.463     0.005
    -1.541    -0.015
    -1.619    -0.014
    -1.697    -0.023
    -1.775    -0.034
    -1.852    -0.028
    -1.930    -0.020
    -2.008    -0.015
    -2.086     0.010
    -2.164     0.029
    -2.241     0.013
    -2.319     0.005
    -2.397     0.041
    -2.475     0.078
    -2.553     0.069
    -2.630     0.015
    -2.708    -0.031
    -2.786    -0.034
    -2.864    -0.028
    -2.942    -0.041
    -3.019    -0.068
    -3.097    -0.068
    -3.149    -0.018
    -3.227     0.023
    -3.305     0.011
    -3.382    -0.010
    -3.460    -0.006
    -3.538     0.019
    -3.616     0.044
    -3.694     0.047
    -3.771     0.031
    -3.849     0.012
    -3.927     0.016
    -4.005     0.037
    -4.083     0.049
    -4.160     0.047
    -4.238     0.030
    -4.316    -0.001
    -4.394    -0.023
    -4.472    -0.023
    -4.550    -0.020
    -4.627    -0.035
    -4.705    -0.051
    -4.783    -0.049
    -4.861    -0.045
    -4.939    -0.040
    -5.016    -0.028
    -5.094    -0.031
    -5.172    -0.049
    -5.250    -0.051
    -5.328    -0.029
    -5.405    -0.006
    -5.483    -0.004
    -5.561    -0.016
    -5.639    -0.019
    -5.717    -0.024
    -5.794    -0.049
    -5.872    -0.071
    -5.950    -0.076
    -6.028    -0.076
    -6.106    -0.053
    -6.183    -0.003
    -6.261     0.040
    -6.339     0.050
    -6.417     0.025
    -6.495    -0.014
    -6.572    -0.045
    -6.650    -0.050
    -6.728    -0.029
    -6.806    -0.001
    -6.884     0.011
    -6.961     0.004
    -7.039    -0.008
    -7.091    -0.004
    -7.169     0.003
    -7.247    -0.009
    -7.324    -0.022
    -7.402     0.004
    -7.480     0.036
    -7.558     0.016
    -7.636    -0.024
    -7.713    -0.021
    -7.791     0.010
    -7.869     0.020
    -7.947     0.012
    -8.025     0.015
    -8.102     0.023
    -8.180     0.018
    -8.258     0.009
    -8.336     0.001
    -8.414    -0.018
    -8.492    -0.020
    -8.569     0.021
    -8.647     0.066
    -8.725     0.065
    -8.803     0.023
    -8.881    -0.012
    -8.958    -0.002
    -9.036     0.019
    -9.114    -0.014
    -9.192    -0.083
    -9.270    -0.114
    -9.347    -0.086
    -9.425    -0.037
    -9.503    -0.010
    -9.581    -0.010
    -9.659    -0.020
    -9.736    -0.017
    -9.814    -0.001
    -9.892     0.015
    -9.970     0.034
   -10.048     0.060
   -10.125     0.068
   -10.203     0.049
   -10.281     0.015
   -10.359    -0.009
   -10.437     0.012
   -10.514     0.051
   -10.592     0.049
   -10.670     0.011
   -10.748    -0.032
   -10.826    -0.057
   -10.903    -0.060
   -10.955    -0.073
   -11.033    -0.091
   -11.111    -0.084
   -11.189    -0.053
   -11.266    -0.015
   -11.344     0.021
   -11.422     0.048
   -11.500     0.075
   -11.578     0.097
   -11.655     0.096
   -11.733     0.068
   -11.811     0.042
   -11.889     0.067
   -11.967     0.112
   -12.044     0.097
   -12.122     0.023
   -12.200    -0.033
   -12.278    -0.027
   -12.356     0.005
   -12.434     0.005
   -12.511    -0.014
   -12.589    -0.017
   -12.667    -0.030
   -12.745    -0.058
   -12.823    -0.057
   -12.900    -0.025
   -12.978     0.013
   -13.056     0.040
   -13.134     0.031
   -13.212    -0.007
   -13.289    -0.012
   -13.367     0.006
   -13.445     0.001
   -13.523     0.008
   -13.601     0.042
   -13.678     0.051
   -13.756     0.022
   -13.834    -0.017
   -13.912    -0.027
   -13.990     0.014
   -14.067     0.057
   -14.145     0.045
   -14.223     0.002
   -14.301    -0.016
   -14.379     0.003
   -14.456     0.018
   -14.534     0.006
   -14.612    -0.017
   -14.690    -0.024
   -14.768     0.014
   -14.845     0.065
   -14.897     0.057
   -14.975     0.021
   -15.053     0.018
   -15.131     0.027
   -15.208     0.015
   -15.286     0.007
   -15.364     0.024
   -15.442     0.038
   -15.520     0.038
   -15.597     0.056
   -15.675     0.068
   -15.753     0.048
   -15.831     0.051
   -15.909     0.090
   -15.986     0.108
   -16.064     0.096
   -16.142     0.063
   -16.220     0.024
