#velocity    Tmb
#km/s         K
    58.669     0.042
    58.592     0.011
    58.514     0.008
    58.437     0.015
    58.360     0.006
    58.283    -0.004
    58.205     0.013
    58.128     0.054
    58.051     0.080
    57.974     0.074
    57.896     0.052
    57.819     0.027
    57.742     0.017
    57.665     0.026
    57.588     0.028
    57.510     0.015
    57.433    -0.017
    57.356    -0.046
    57.279    -0.030
    57.201     0.031
    57.124     0.087
    57.047     0.100
    56.970     0.073
    56.893     0.032
    56.815     0.010
    56.738     0.005
    56.661     0.000
    56.584     0.016
    56.506     0.056
    56.429     0.062
    56.352     0.035
    56.275     0.033
    56.197     0.037
    56.120     0.020
    56.069     0.011
    55.991     0.002
    55.914    -0.018
    55.837    -0.012
    55.760     0.010
    55.683     0.014
    55.605     0.005
    55.528     0.004
    55.451     0.019
    55.374     0.045
    55.296     0.060
    55.219     0.035
    55.142    -0.011
    55.065    -0.017
    54.988     0.032
    54.910     0.103
    54.833     0.155
    54.756     0.149
    54.679     0.090
    54.601     0.034
    54.524     0.017
    54.447     0.022
    54.370     0.019
    54.292     0.012
    54.215     0.017
    54.138     0.022
    54.061     0.018
    53.984     0.017
    53.906     0.011
    53.829    -0.006
    53.752    -0.000
    53.675     0.036
    53.597     0.060
    53.520     0.058
    53.443     0.052
    53.366     0.048
    53.288     0.030
    53.211    -0.010
    53.134    -0.051
    53.057    -0.049
    52.980    -0.004
    52.902     0.016
    52.825    -0.014
    52.748    -0.039
    52.671    -0.025
    52.593     0.001
    52.516     0.016
    52.439     0.016
    52.362     0.015
    52.284     0.031
    52.233     0.037
    52.156     0.021
    52.079     0.027
    52.001     0.062
    51.924     0.077
    51.847     0.048
    51.770     0.007
    51.692     0.003
    51.615     0.028
    51.538     0.035
    51.461     0.017
    51.383    -0.017
    51.306    -0.070
    51.229    -0.107
    51.152    -0.094
    51.075    -0.036
    50.997     0.035
    50.920     0.075
    50.843     0.072
    50.766     0.065
    50.688     0.065
    50.611     0.040
    50.534    -0.012
    50.457    -0.043
    50.379    -0.043
    50.302    -0.048
    50.225    -0.047
    50.148    -0.023
    50.071     0.001
    49.993     0.017
    49.916     0.029
    49.839     0.021
    49.762    -0.012
    49.684    -0.046
    49.607    -0.049
    49.530    -0.023
    49.453     0.001
    49.375     0.016
    49.298     0.034
    49.221     0.036
    49.144    -0.007
    49.067    -0.065
    48.989    -0.060
    48.912     0.010
    48.835     0.056
    48.758     0.027
    48.680    -0.045
    48.603    -0.102
    48.526    -0.108
    48.449    -0.086
    48.371    -0.072
    48.320    -0.048
    48.243     0.009
    48.166     0.054
    48.088     0.033
    48.011    -0.022
    47.934    -0.032
    47.857     0.024
    47.779     0.069
    47.702     0.031
    47.625    -0.041
    47.548    -0.043
    47.470     0.031
    47.393     0.089
    47.316     0.074
    47.239     0.029
    47.162     0.012
    47.084     0.017
    47.007     0.015
    46.930    -0.004
    46.853    -0.036
    46.775    -0.058
    46.698    -0.031
    46.621     0.040
    46.544     0.090
    46.466     0.077
    46.389     0.017
    46.312    -0.047
    46.235    -0.075
    46.158    -0.055
    46.080    -0.017
    46.003     0.018
    45.926     0.032
    45.849     0.002
    45.771    -0.036
    45.694    -0.024
    45.617     0.015
    45.540     0.011
    45.462    -0.030
    45.385    -0.039
    45.308    -0.004
    45.231     0.014
    45.154    -0.004
    45.076    -0.030
    44.999    -0.047
    44.922    -0.037
    44.845    -0.015
    44.767    -0.020
    44.690    -0.031
    44.613    -0.023
    44.536    -0.011
    44.484     0.008
    44.407     0.037
    44.330     0.046
    44.253     0.011
    44.175    -0.060
    44.098    -0.117
    44.021    -0.125
    43.944    -0.094
    43.866    -0.060
    43.789    -0.061
    43.712    -0.090
    43.635    -0.096
    43.557    -0.054
    43.480    -0.011
    43.403    -0.018
    43.326    -0.043
    43.249    -0.042
    43.171    -0.043
    43.094    -0.043
    43.017    -0.019
    42.940     0.002
    42.862    -0.010
    42.785    -0.031
    42.708    -0.026
    42.631    -0.009
    42.553    -0.003
    42.476     0.020
    42.399     0.061
    42.322     0.074
    42.245     0.069
    42.167     0.067
    42.090     0.036
    42.013    -0.025
    41.936    -0.074
    41.858    -0.083
    41.781    -0.067
    41.704    -0.057
    41.627    -0.055
    41.549    -0.039
    41.472    -0.022
    41.395    -0.035
    41.318    -0.049
    41.241    -0.027
    41.163     0.011
    41.086     0.037
    41.009     0.061
    40.932     0.089
    40.854     0.101
    40.777     0.072
    40.700     0.007
    40.623    -0.037
    40.571    -0.018
    40.494     0.039
    40.417     0.087
    40.340     0.106
    40.262     0.089
    40.185     0.047
    40.108    -0.003
    40.031    -0.027
    39.953    -0.012
    39.876     0.017
    39.799     0.046
    39.722     0.061
    39.644     0.040
    39.567     0.003
    39.490     0.005
    39.413     0.027
    39.336     0.008
    39.258    -0.017
    39.181    -0.004
    39.104    -0.008
    39.027    -0.049
    38.949    -0.067
    38.872    -0.040
    38.795    -0.002
    38.718     0.009
    38.640    -0.006
    38.563    -0.014
    38.486    -0.007
    38.409    -0.001
    38.332    -0.001
    38.254    -0.009
    38.177    -0.016
    38.100     0.008
    38.023     0.062
    37.945     0.100
    37.868     0.113
    37.791     0.107
    37.714     0.066
    37.636     0.012
    37.559     0.007
    37.482     0.067
    37.405     0.129
    37.328     0.143
    37.250     0.123
    37.173     0.105
    37.096     0.113
    37.019     0.124
    36.941     0.110
    36.864     0.107
    36.787     0.126
    36.710     0.132
    36.658     0.134
    36.581     0.158
    36.504     0.206
    36.427     0.255
    36.349     0.264
    36.272     0.247
    36.195     0.243
    36.118     0.243
    36.040     0.230
    35.963     0.223
    35.886     0.234
    35.809     0.255
    35.731     0.285
    35.654     0.327
    35.577     0.362
    35.500     0.399
    35.423     0.450
    35.345     0.499
    35.268     0.542
    35.191     0.570
    35.114     0.562
    35.036     0.561
    34.959     0.603
    34.882     0.641
    34.805     0.627
    34.727     0.578
    34.650     0.550
    34.573     0.571
    34.496     0.610
    34.419     0.637
    34.341     0.650
    34.264     0.653
    34.187     0.667
    34.110     0.717
    34.032     0.786
    33.955     0.832
    33.878     0.841
    33.801     0.821
    33.724     0.784
    33.646     0.760
    33.569     0.763
    33.492     0.770
    33.415     0.774
    33.337     0.781
    33.260     0.797
    33.183     0.807
    33.106     0.800
    33.028     0.809
    32.951     0.840
    32.874     0.866
    32.822     0.895
    32.745     0.935
    32.668     0.977
    32.591     1.027
    32.514     1.065
    32.436     1.056
    32.359     1.013
    32.282     0.977
    32.205     0.968
    32.127     0.982
    32.050     1.011
    31.973     1.055
    31.896     1.092
    31.818     1.110
    31.741     1.115
    31.664     1.101
    31.587     1.068
    31.510     1.040
    31.432     1.021
    31.355     0.982
    31.278     0.904
    31.201     0.807
    31.123     0.720
    31.046     0.650
    30.969     0.590
    30.892     0.533
    30.815     0.471
    30.737     0.432
    30.660     0.422
    30.583     0.399
    30.506     0.366
    30.428     0.351
    30.351     0.343
    30.274     0.318
    30.197     0.266
    30.119     0.195
    30.042     0.146
    29.965     0.130
    29.888     0.114
    29.811     0.103
    29.733     0.096
    29.656     0.066
    29.579     0.039
    29.502     0.046
    29.424     0.050
    29.347     0.032
    29.270     0.029
    29.193     0.049
    29.115     0.058
    29.038     0.042
    28.961     0.020
    28.909     0.013
    28.832     0.012
    28.755     0.006
    28.678    -0.001
    28.601    -0.001
    28.523     0.012
    28.446     0.032
    28.369     0.034
    28.292    -0.009
    28.214    -0.065
    28.137    -0.063
    28.060    -0.007
    27.983     0.040
    27.906     0.039
    27.828     0.011
    27.751     0.005
    27.674     0.052
    27.597     0.114
    27.519     0.113
    27.442     0.048
    27.365    -0.007
    27.288    -0.014
    27.210    -0.005
    27.133    -0.032
    27.056    -0.090
    26.979    -0.120
    26.902    -0.097
    26.824    -0.063
    26.747    -0.071
    26.670    -0.114
    26.593    -0.134
    26.515    -0.103
    26.438    -0.053
    26.361    -0.026
    26.284    -0.031
    26.206    -0.052
    26.129    -0.065
    26.052    -0.070
    25.975    -0.059
    25.898    -0.041
    25.820    -0.042
    25.743    -0.039
    25.666    -0.019
    25.589    -0.040
    25.511    -0.096
    25.434    -0.088
    25.357    -0.020
    25.280     0.002
    25.202    -0.037
    25.125    -0.070
    25.074    -0.080
    24.997    -0.081
    24.919    -0.078
    24.842    -0.080
    24.765    -0.067
    24.688    -0.022
    24.610     0.006
    24.533    -0.014
    24.456    -0.035
    24.379    -0.025
    24.301    -0.013
    24.224    -0.014
    24.147    -0.002
    24.070     0.025
    23.993     0.029
    23.915    -0.000
    23.838    -0.018
    23.761    -0.010
    23.684    -0.014
    23.606    -0.041
    23.529    -0.070
    23.452    -0.076
    23.375    -0.038
    23.297     0.023
    23.220     0.035
    23.143    -0.017
    23.066    -0.062
    22.989    -0.058
    22.911    -0.062
    22.834    -0.106
    22.757    -0.133
    22.680    -0.111
    22.602    -0.077
    22.525    -0.054
    22.448    -0.024
    22.371     0.021
    22.293     0.054
    22.216     0.031
    22.139    -0.026
    22.062    -0.055
    21.985    -0.050
    21.907    -0.045
    21.830    -0.025
    21.753     0.014
    21.676     0.038
    21.598     0.029
    21.521     0.005
    21.444    -0.006
    21.367     0.007
    21.289     0.009
    21.212    -0.016
    21.161    -0.031
    21.084    -0.009
    21.006     0.026
    20.929     0.031
    20.852    -0.005
    20.775    -0.040
    20.697    -0.040
    20.620    -0.031
    20.543    -0.028
    20.466    -0.027
    20.388    -0.040
    20.311    -0.046
    20.234    -0.022
    20.157    -0.015
    20.080    -0.048
    20.002    -0.084
    19.925    -0.091
    19.848    -0.068
    19.771    -0.041
    19.693    -0.050
    19.616    -0.078
    19.539    -0.078
    19.462    -0.073
    19.384    -0.075
    19.307    -0.044
    19.230    -0.004
    19.153    -0.020
    19.076    -0.071
    18.998    -0.092
    18.921    -0.064
    18.844    -0.014
    18.767     0.010
    18.689     0.007
    18.612     0.027
    18.535     0.060
    18.458     0.040
    18.380    -0.015
    18.303    -0.042
    18.226    -0.050
    18.149    -0.070
    18.072    -0.071
    17.994    -0.033
    17.917    -0.009
    17.840    -0.015
    17.763    -0.013
    17.685    -0.011
    17.608    -0.019
    17.531    -0.014
    17.454    -0.015
    17.376    -0.045
    17.299    -0.070
    17.248    -0.067
    17.171    -0.054
    17.093    -0.037
    17.016    -0.017
    16.939    -0.015
    16.862    -0.047
    16.784    -0.079
    16.707    -0.069
    16.630    -0.062
    16.553    -0.082
    16.475    -0.069
    16.398    -0.029
    16.321    -0.026
    16.244    -0.038
    16.167    -0.025
    16.089    -0.026
    16.012    -0.066
    15.935    -0.095
    15.858    -0.078
    15.780    -0.041
    15.703    -0.020
    15.626     0.000
    15.549     0.032
    15.471     0.039
    15.394     0.023
    15.317     0.025
    15.240     0.037
    15.163     0.031
    15.085     0.017
    15.008     0.011
    14.931    -0.003
    14.854    -0.009
    14.776     0.005
    14.699    -0.011
    14.622    -0.051
    14.545    -0.047
    14.467    -0.031
    14.390    -0.066
    14.313    -0.093
    14.236    -0.067
    14.159    -0.049
    14.081    -0.052
    14.004    -0.033
    13.927    -0.007
    13.850    -0.020
    13.772    -0.059
    13.695    -0.072
    13.618    -0.060
    13.541    -0.069
    13.463    -0.072
    13.412    -0.029
    13.335     0.026
    13.258     0.072
    13.180     0.114
    13.103     0.118
    13.026     0.091
    12.949     0.080
    12.871     0.079
    12.794     0.080
    12.717     0.087
    12.640     0.091
    12.562     0.078
    12.485     0.054
    12.408     0.031
    12.331     0.013
    12.254     0.017
    12.176     0.061
    12.099     0.081
    12.022     0.009
    11.945    -0.075
    11.867    -0.061
    11.790     0.034
    11.713     0.098
    11.636     0.092
    11.558     0.074
    11.481     0.073
    11.404     0.078
    11.327     0.074
    11.250     0.054
    11.172     0.023
    11.095     0.001
    11.018     0.000
    10.941     0.007
    10.863     0.017
    10.786     0.050
    10.709     0.100
    10.632     0.123
    10.554     0.091
    10.477     0.022
    10.400    -0.021
    10.323    -0.001
    10.246     0.039
    10.168     0.057
    10.091     0.041
    10.014     0.004
     9.937    -0.024
     9.859    -0.047
     9.782    -0.074
     9.705    -0.068
     9.628    -0.016
     9.551     0.017
     9.499     0.012
     9.422     0.017
     9.345     0.025
     9.267    -0.007
     9.190    -0.058
     9.113    -0.089
     9.036    -0.096
     8.958    -0.082
     8.881    -0.051
     8.804    -0.013
     8.727     0.016
     8.649     0.033
     8.572     0.032
     8.495     0.010
     8.418    -0.020
     8.341    -0.038
     8.263    -0.038
     8.186    -0.016
     8.109     0.021
     8.032     0.050
     7.954     0.037
     7.877    -0.023
     7.800    -0.084
     7.723    -0.112
     7.645    -0.111
     7.568    -0.083
     7.491    -0.041
     7.414    -0.036
     7.337    -0.073
     7.259    -0.077
     7.182    -0.022
     7.105     0.027
     7.028     0.032
     6.950     0.015
     6.873    -0.001
     6.796    -0.008
     6.719     0.008
     6.642     0.054
     6.564     0.096
     6.487     0.088
     6.410     0.042
     6.333     0.020
     6.255     0.030
     6.178     0.038
     6.101     0.036
     6.024     0.014
     5.946    -0.027
     5.869    -0.032
     5.792     0.016
     5.715     0.049
     5.663     0.046
     5.586     0.040
     5.509     0.027
     5.432     0.003
     5.354    -0.016
     5.277    -0.023
     5.200     0.009
     5.123     0.074
     5.045     0.112
     4.968     0.079
     4.891     0.009
     4.814    -0.014
     4.737     0.024
     4.659     0.060
     4.582     0.060
     4.505     0.051
     4.428     0.060
     4.350     0.074
     4.273     0.067
     4.196     0.051
     4.119     0.063
     4.041     0.089
     3.964     0.083
     3.887     0.049
     3.810     0.019
     3.733    -0.002
     3.655    -0.017
     3.578    -0.032
     3.501    -0.036
     3.424    -0.008
     3.346     0.035
     3.269     0.045
     3.192     0.020
     3.115     0.001
     3.037     0.015
     2.960     0.042
     2.883     0.042
     2.806     0.016
     2.729     0.014
     2.651     0.052
     2.574     0.099
     2.497     0.147
     2.420     0.173
     2.342     0.142
     2.265     0.089
     2.188     0.061
     2.111     0.052
     2.033     0.052
     1.956     0.067
     1.879     0.069
     1.802     0.031
     1.750    -0.020
     1.673    -0.055
     1.596    -0.068
     1.519    -0.043
     1.441     0.022
     1.364     0.080
     1.287     0.087
     1.210     0.061
     1.132     0.047
     1.055     0.054
     0.978     0.061
     0.901     0.046
     0.824     0.030
     0.746     0.034
     0.669     0.025
     0.592    -0.017
     0.515    -0.057
     0.437    -0.064
     0.360    -0.045
     0.283    -0.034
     0.206    -0.027
     0.128    -0.005
     0.051     0.007
    -0.026    -0.007
    -0.103    -0.018
    -0.180    -0.004
    -0.258     0.035
    -0.335     0.090
    -0.412     0.123
    -0.489     0.100
    -0.567     0.053
    -0.644     0.048
    -0.721     0.095
    -0.798     0.129
    -0.876     0.093
    -0.953     0.017
    -1.030    -0.045
    -1.107    -0.081
    -1.184    -0.079
    -1.262    -0.018
    -1.339     0.063
    -1.416     0.098
    -1.493     0.075
    -1.571     0.021
    -1.648    -0.017
    -1.725    -0.014
    -1.802     0.001
    -1.880    -0.003
    -1.957    -0.027
    -2.034    -0.032
    -2.085     0.004
    -2.163     0.048
    -2.240     0.071
    -2.317     0.068
    -2.394     0.030
    -2.472    -0.024
    -2.549    -0.053
    -2.626    -0.071
    -2.703    -0.099
    -2.781    -0.095
    -2.858    -0.045
    -2.935    -0.012
    -3.012    -0.027
    -3.089    -0.043
    -3.167    -0.012
    -3.244     0.046
    -3.321     0.091
    -3.398     0.100
    -3.476     0.067
    -3.553     0.017
    -3.630    -0.021
    -3.707    -0.034
    -3.785    -0.020
    -3.862     0.004
    -3.939     0.014
    -4.016     0.008
    -4.093    -0.011
    -4.171    -0.038
    -4.248    -0.043
    -4.325    -0.017
    -4.402     0.019
    -4.480     0.050
    -4.557     0.066
    -4.634     0.040
    -4.711    -0.016
    -4.789    -0.031
    -4.866     0.001
    -4.943     0.025
    -5.020     0.038
    -5.097     0.045
    -5.175     0.031
    -5.252     0.001
    -5.329    -0.022
    -5.406    -0.017
    -5.484     0.017
    -5.561     0.049
    -5.638     0.044
    -5.715    -0.006
    -5.793    -0.055
    -5.870    -0.050
    -5.947    -0.018
    -5.998    -0.022
    -6.076    -0.056
    -6.153    -0.063
    -6.230    -0.021
    -6.307     0.036
    -6.385     0.054
    -6.462     0.022
    -6.539    -0.015
    -6.616    -0.039
    -6.694    -0.050
    -6.771    -0.022
    -6.848     0.009
    -6.925    -0.008
    -7.002    -0.042
    -7.080    -0.040
    -7.157    -0.023
    -7.234    -0.049
    -7.311    -0.088
    -7.389    -0.087
    -7.466    -0.082
    -7.543    -0.089
    -7.620    -0.060
    -7.698    -0.007
    -7.775     0.016
    -7.852     0.013
    -7.929     0.016
    -8.006     0.012
    -8.084    -0.015
    -8.161    -0.032
    -8.238    -0.019
    -8.315    -0.003
    -8.393     0.002
    -8.470    -0.009
    -8.547    -0.054
    -8.624    -0.101
    -8.702    -0.085
    -8.779    -0.018
    -8.856     0.033
    -8.933     0.037
    -9.010     0.025
    -9.088     0.028
    -9.165     0.040
    -9.242     0.036
    -9.319    -0.005
    -9.397    -0.052
    -9.474    -0.039
    -9.551     0.004
    -9.628     0.001
    -9.706    -0.021
    -9.783    -0.037
    -9.860    -0.062
    -9.911    -0.077
    -9.989    -0.078
   -10.066    -0.074
   -10.143    -0.046
   -10.220    -0.007
   -10.298     0.026
   -10.375     0.054
   -10.452     0.059
   -10.529     0.038
   -10.607     0.025
   -10.684     0.042
   -10.761     0.076
   -10.838     0.097
   -10.915     0.071
   -10.993     0.011
   -11.070    -0.010
   -11.147     0.006
   -11.224    -0.000
   -11.302    -0.026
   -11.379    -0.059
   -11.456    -0.091
   -11.533    -0.091
   -11.611    -0.036
   -11.688     0.033
   -11.765     0.060
   -11.842     0.043
   -11.919     0.021
   -11.997     0.018
   -12.074     0.023
   -12.151     0.011
   -12.228    -0.019
   -12.306    -0.046
   -12.383    -0.054
   -12.460    -0.015
   -12.537     0.055
   -12.615     0.057
   -12.692    -0.030
   -12.769    -0.084
   -12.846    -0.053
   -12.923    -0.016
   -13.001    -0.009
   -13.078     0.005
   -13.155     0.031
   -13.232     0.046
   -13.310     0.048
   -13.387     0.038
   -13.464     0.025
   -13.541     0.042
   -13.618     0.084
   -13.696     0.090
   -13.747     0.033
   -13.824    -0.034
   -13.902    -0.057
   -13.979    -0.041
   -14.056    -0.021
   -14.133    -0.018
   -14.211    -0.024
   -14.288    -0.030
   -14.365    -0.033
   -14.442    -0.024
   -14.520    -0.015
   -14.597    -0.001
   -14.674     0.025
   -14.751     0.009
   -14.828    -0.060
   -14.906    -0.098
   -14.983    -0.065
   -15.060    -0.000
   -15.137     0.049
   -15.215     0.052
   -15.292     0.011
   -15.369    -0.046
   -15.446    -0.086
